,index,"Population, total",Population growth (annual %),Urban population (% of total),Urban population,Urban population growth (annual %),Rural population (% of total population),Rural population,Rural population growth (annual %),GDP (current US$),GDP growth (annual %),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Methane emissions (kt of CO2 equivalent),Total greenhouse gas emissions (kt of CO2 equivalent),Other greenhouse gas emissions,CO2 emissions from solid fuel consumption (kt),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions (kg per 2010 US$ of GDP),CO2 intensity (kg per kg of oil equivalent energy use),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Agricultural land (sq. km)
352,1990-04-01,5220861521.71062,1.74100291824301,43.0311324284079,2246595835.311089,2.61151915022835,56.9688675715921,2974265686.3995314,3007640922.0,20836158216648.824,1.15130857695466,246083.94166666665,555698.3333333334,3186014.17140545,495190.2297387817,711882.3495833334,760837.7163333334,313528.5,1845783.53325,0.34949151275806173,0.048634241722753914,0.2027293870603075,138.5775094916792,177.2760600151225,40668946.66869211
353,1990-05-01,5228305632.8962555,1.74100291824301,43.0311324284079,2249799120.6534977,2.61151915022835,56.9688675715921,2978506512.2427583,3007640922.0,21057176241655.816,1.15130857695466,246083.94166666665,555698.3333333334,3186014.17140545,495190.2297387817,711882.3495833334,760837.7163333334,313528.5,1845783.53325,0.34949151275806173,0.048634241722753914,0.2027293870603075,138.5775094916792,177.2760600151225,40708515.80671084
354,1990-06-01,5236003330.00122,1.74100291824301,43.0311324284079,2253111526.8886724,2.61151915022835,56.9688675715921,2982891803.112548,3007640922.0,21293014078782.934,1.15130857695466,246083.94166666665,555698.3333333334,3186014.17140545,495190.2297387817,711882.3495833334,760837.7163333334,313528.5,1845783.53325,0.34949151275806173,0.048634241722753914,0.2027293870603075,138.5775094916792,177.2760600151225,40743245.361473575
355,1990-07-01,5243454199.676455,1.74100291824301,43.0311324284079,2256317720.485691,2.61151915022835,56.9688675715921,2987136479.1907635,3007640922.0,21524340953212.72,1.15130857695466,246083.94166666665,555698.3333333334,3186014.17140545,495190.2297387817,711882.3495833334,760837.7163333334,313528.5,1845783.53325,0.34949151275806173,0.048634241722753914,0.2027293870603075,138.5775094916792,177.2760600151225,40768273.84680018
356,1990-08-01,5251151009.569093,1.74100291824301,43.0311324284079,2259629744.9433546,2.61151915022835,56.9688675715921,2991521264.625738,3007640922.0,21762279313076.39,1.15130857695466,246083.94166666665,555698.3333333334,3186014.17140545,495190.2297387817,711882.3495833334,760837.7163333334,313528.5,1845783.53325,0.34949151275806173,0.048634241722753914,0.2027293870603075,138.5775094916792,177.2760600151225,40782531.835518494
357,1990-09-01,5258841335.783293,1.74100291824301,43.0311324284079,2262938979.400764,2.61151915022835,56.9688675715921,2995902356.3825293,3007640922.0,21994730414900.27,1.15130857695466,246083.94166666665,555698.3333333334,3186014.17140545,495190.2297387817,711882.3495833334,760837.7163333334,313528.5,1845783.53325,0.34949151275806173,0.048634241722753914,0.2027293870603075,138.5775094916792,177.2760600151225,40782211.924508765
358,1990-10-01,5266273584.280073,1.74100291824301,43.0311324284079,2266137160.0938215,2.61151915022835,56.9688675715921,3000136424.186252,3007640922.0,22210297838560.184,1.15130857695466,246083.94166666665,555698.3333333334,3186014.17140545,495190.2297387817,711882.3495833334,760837.7163333334,313528.5,1845783.53325,0.34949151275806173,0.048634241722753914,0.2027293870603075,138.5775094916792,177.2760600151225,40765372.56046032
359,1990-11-01,5273939281.294678,1.74100291824301,43.0311324284079,2269435796.3277364,2.61151915022835,56.9688675715921,3004503484.966941,3007640922.0,22419053402136.043,1.15130857695466,246083.94166666665,555698.3333333334,3186014.17140545,495190.2297387817,711882.3495833334,760837.7163333334,313528.5,1845783.53325,0.34949151275806173,0.048634241722753914,0.2027293870603075,138.5775094916792,177.2760600151225,40728153.12624268
360,1990-12-01,5281340078.0,1.74100291824301,43.0311324284079,2272620442.958761,2.61151915022835,56.9688675715921,3008719635.0412393,3007640922.0,22603413574265.3,1.15130857695466,246083.94166666665,555698.3333333334,3186014.17140545,495190.2297387817,711882.3495833334,760837.7163333334,313528.5,1845783.53325,0.34949151275806173,0.048634241722753914,0.2027293870603075,138.5775094916792,177.2760600151225,40670334.0059325
361,1991-01-01,5288965778.852249,1.6637825949901,43.398215864793386,2295316785.7213497,2.53093693795203,56.601784135206614,2993648993.130899,3037976042.0,22772598282951.273,-0.240699224271808,242046.44999999998,559045.8333333334,3215625.3205499747,523599.70388331084,689232.5129166667,794307.9532499999,321168.0833333333,1866994.0724166671,0.34772229795129084,0.048504793499975246,0.2055166145812508,137.40576198398082,179.41577591399584,40587462.613918625
362,1991-02-01,5296567180.450901,1.6637825949901,43.398215864793386,2298615658.3958826,2.53093693795203,56.601784135206614,2997951522.0550184,3037976042.0,22921865669151.133,-0.240699224271808,242046.44999999998,559045.8333333334,3215625.3205499747,523599.70388331084,689232.5129166667,794307.9532499999,321168.0833333333,1866994.0724166671,0.34772229795129084,0.048504793499975246,0.2055166145812508,137.40576198398082,179.41577591399584,40488969.27252394
363,1991-03-01,5303410566.656175,1.6637825949901,43.398215864793386,2301585565.9137087,2.53093693795203,56.601784135206614,3001825000.742466,3037976042.0,23042025780395.137,-0.240699224271808,242046.44999999998,559045.8333333334,3215625.3205499747,523599.70388331084,689232.5129166667,794307.9532499999,321168.0833333333,1866994.0724166671,0.34772229795129084,0.048504793499975246,0.2055166145812508,137.40576198398082,179.41577591399584,40394920.523759216
